Peak Number,Range High δ,Range Low δ,%Peak Area
1,6.600,5.426,0.215819
2,5.426,5.223,7.02834
3,5.223,4.345,0.337042
4,4.345,4.264,1.63807
5,4.264,4.178,0.127467
6,4.178,4.097,2.00752
7,4.097,2.841,0.53484
8,2.841,2.723,1.70113
9,2.723,2.345,0.446527
10,2.345,2.252,5.58
11,2.252,2.085,0.431288
12,2.085,1.943,8.91149
13,1.943,1.687,0.352989
14,1.687,1.544,5.97233
15,1.544,1.414,0.938678
16,1.414,1.179,52.8531
17,1.179,1.000,1.3748
18,1.000,0.935,0.685757
19,0.935,0.837,8.0188
20,0.837,0.400,0.84401
