Peak Number,Range High δ,Range Low δ,%Peak Area
1,6.600,5.428,0.247467
2,5.428,5.224,8.15314
3,5.224,4.341,0.374563
4,4.341,4.262,1.55591
5,4.262,4.175,0.143382
6,4.175,4.100,1.97106
7,4.100,2.837,0.567256
8,2.837,2.715,2.2015
9,2.715,2.344,0.432183
10,2.344,2.253,5.53345
11,2.253,2.088,0.475224
12,2.088,1.938,10.2125
13,1.938,1.685,0.351442
14,1.685,1.543,5.94368
15,1.543,1.409,1.01474
16,1.409,1.184,49.7616
17,1.184,1.002,1.40838
18,1.002,0.927,0.993186
19,0.927,0.837,7.71418
20,0.837,0.400,0.94514
