Wavenumber,Percent Transmittance
399.282035,73.643582
400.246484,79.715213
401.210934,84.74573
402.175383,81.998039
403.139832,78.389111
404.104282,81.440644
405.068731,82.578277
406.033181,76.792088
406.997630,71.717312
407.962079,72.307583
408.926529,75.495315
409.890978,74.80988
410.855427,73.395387
411.819877,76.721364
412.784326,81.236958
413.748775,81.540239
414.713225,81.244634
415.677674,81.25398
416.642124,76.206242
417.606573,69.543111
418.571022,58.958945
419.535472,67.394499
420.499921,73.749459
421.464370,73.956234
422.428820,71.568294
423.393269,70.316727
424.357718,75.324325
425.322168,75.941757
426.286617,73.832946
427.251066,74.94531
428.215516,73.134818
429.179965,71.068356
430.144415,73.533595
431.108864,74.823611
432.073313,73.561351
433.037763,74.019574
434.002212,73.650827
434.966661,74.510058
435.931111,76.460605
436.895560,75.091689
437.860009,76.740453
438.824459,79.72319
439.788908,79.05571
440.753358,77.274347
441.717807,74.547583
442.682256,72.934539
443.646706,74.503199
444.611155,75.843239
445.575604,75.356126
446.540054,73.123471
447.504503,72.862695
448.468952,74.158847
449.433402,74.759968
450.397851,75.616035
451.362300,75.18515
452.326750,73.634696
453.291199,72.179934
454.255649,72.537101
455.220098,72.488463
456.184547,72.587821
457.148997,71.800601
458.113446,71.785588
459.077895,72.668579
460.042345,72.256417
461.006794,72.02542
461.971243,73.109963
462.935693,73.660623
463.900142,73.530259
464.864592,73.662728
465.829041,73.792792
466.793490,73.263059
467.757940,72.453829
468.722389,72.51031
469.686838,73.23845
470.651288,73.286502
471.615737,72.939
472.580186,73.101006
473.544636,74.941396
474.509085,75.497675
475.473534,74.948206
476.437984,74.864543
477.402433,76.107893
478.366883,76.426442
479.331332,76.280618
480.295781,76.74698
481.260231,77.324649
482.224680,77.918038
483.189129,76.776259
484.153579,76.405685
485.118028,77.478958
486.082477,77.684368
487.046927,78.126191
488.011376,78.206532
488.975826,77.753237
489.940275,77.634353
490.904724,77.82023
491.869174,77.78588
492.833623,78.528539
493.798072,78.876113
494.762522,78.965513
495.726971,79.717573
496.691420,79.831777
497.655870,79.002324
498.620319,79.035173
499.584768,79.683365
500.549218,79.762016
501.513667,78.834235
502.478117,78.422554
503.442566,78.660911
504.407015,78.486301
505.371465,78.367158
506.335914,78.392027
507.300363,78.615381
508.264813,78.947924
509.229262,79.006741
510.193711,79.332945
511.158161,79.456051
512.122610,79.55187
513.087060,79.857119
514.051509,79.5584
515.015958,79.004674
515.980408,79.021856
516.944857,78.340045
517.909306,78.857803
518.873756,79.422189
519.838205,79.656255
520.802654,80.167466
521.767104,80.207987
522.731553,79.687118
523.696002,79.499423
524.660452,79.67215
525.624901,79.333354
526.589351,79.4249
527.553800,79.432689
528.518249,79.654654
529.482699,80.164508
530.447148,79.978655
531.411597,80.095297
532.376047,80.198134
533.340496,79.647319
534.304945,79.018292
535.269395,78.950593
536.233844,79.275985
537.198294,79.815564
538.162743,80.080862
539.127192,80.5473
540.091642,80.563821
541.056091,80.306203
542.020540,80.039153
542.984990,79.720124
543.949439,79.466406
544.913888,79.324055
545.878338,78.854867
546.842787,78.776848
547.807236,78.481372
548.771686,78.704476
549.736135,78.952627
550.700585,78.837085
551.665034,78.964123
552.629483,79.158714
553.593933,78.977186
554.558382,79.18213
555.522831,79.369537
556.487281,78.548128
557.451730,78.176634
558.416179,78.501367
559.380629,78.788057
560.345078,78.748798
561.309528,78.415574
562.273977,78.225744
