Wavenumber,Percent Transmittance
399.282035,89.829067
400.246484,93.150347
401.210934,105.785347
402.175383,107.78477
403.139832,104.549047
404.104282,106.293357
405.068731,107.695283
406.033181,98.672571
406.997630,91.323426
407.962079,92.381193
408.926529,95.826437
409.890978,94.625146
410.855427,96.757699
411.819877,100.070002
412.784326,99.816134
413.748775,98.066281
414.713225,96.972508
415.677674,97.416363
416.642124,94.875033
417.606573,85.779782
418.571022,73.359269
419.535472,87.64545
420.499921,97.151055
421.464370,97.57109
422.428820,94.323568
423.393269,90.582805
424.357718,93.381903
425.322168,98.70767
426.286617,96.491637
427.251066,93.96006
428.215516,92.462705
429.179965,90.413513
430.144415,90.323362
431.108864,89.478143
432.073313,91.548599
433.037763,94.470519
434.002212,94.072108
434.966661,94.162549
435.931111,95.985339
436.895560,96.799342
437.860009,97.977235
438.824459,99.952571
439.788908,99.42797
440.753358,99.053626
441.717807,94.842735
442.682256,91.48161
443.646706,92.347744
444.611155,94.962406
445.575604,95.454239
446.540054,95.414501
447.504503,94.496508
448.468952,93.807566
449.433402,93.67334
450.397851,96.102607
451.362300,97.007936
452.326750,95.990049
453.291199,94.521781
454.255649,94.080325
455.220098,93.301501
456.184547,93.974074
457.148997,92.708137
458.113446,92.203371
459.077895,93.075332
460.042345,92.96457
461.006794,92.284473
461.971243,93.59726
462.935693,94.790021
463.900142,94.008558
464.864592,93.538225
465.829041,94.034518
466.793490,93.501092
467.757940,93.112214
468.722389,92.494315
469.686838,91.482292
470.651288,91.306612
471.615737,92.440522
472.580186,94.300542
473.544636,94.36644
474.509085,93.996337
475.473534,93.117458
476.437984,92.599456
477.402433,93.345892
478.366883,93.791673
479.331332,93.828393
480.295781,94.861034
481.260231,95.448844
482.224680,95.096267
483.189129,93.823989
484.153579,93.531951
485.118028,93.964232
486.082477,93.633544
487.046927,93.894477
488.011376,94.558635
488.975826,94.785672
489.940275,94.839656
490.904724,94.949957
491.869174,94.764143
492.833623,95.432356
493.798072,95.931022
494.762522,95.964243
495.726971,96.370279
496.691420,96.317113
497.655870,95.628835
498.620319,95.777121
499.584768,96.114624
500.549218,96.571916
501.513667,96.348027
502.478117,95.398549
503.442566,94.747817
504.407015,94.362598
505.371465,94.693308
506.335914,95.168064
507.300363,95.144529
508.264813,95.168277
509.229262,95.062281
510.193711,95.397567
511.158161,95.553923
512.122610,95.438227
513.087060,95.621274
514.051509,95.275309
515.015958,94.959239
515.980408,95.2399
516.944857,94.19126
517.909306,94.431053
518.873756,95.324749
519.838205,95.148434
520.802654,95.412135
521.767104,96.135665
522.731553,96.007869
523.696002,96.059813
524.660452,96.10261
525.624901,95.862449
526.589351,95.826296
527.553800,95.196918
528.518249,95.397726
529.482699,96.07039
530.447148,95.994922
531.411597,96.291035
532.376047,96.076323
533.340496,96.041814
534.304945,95.982271
535.269395,95.616117
536.233844,95.272081
537.198294,96.02922
538.162743,96.171212
539.127192,96.436532
540.091642,96.377687
541.056091,96.271977
542.020540,96.078647
542.984990,95.357628
543.949439,95.222847
544.913888,95.830435
545.878338,96.14771
546.842787,96.028234
547.807236,95.430737
548.771686,95.765679
549.736135,96.234205
550.700585,95.517634
551.665034,95.288946
552.629483,95.901648
553.593933,95.839752
554.558382,95.640383
555.522831,95.41622
556.487281,94.47306
557.451730,94.323991
558.416179,94.357607
559.380629,94.348887
560.345078,95.088351
561.309528,95.453121
562.273977,95.400308
563.238426,95.433615
564.202876,94.87671
565.167325,94.101271
566.131774,93.974127
567.096224,93.977832
568.060673,94.268997
569.025122,93.685529
569.989572,92.988336
570.954021,92.425512
571.918470,92.022089
572.882920,92.117302
573.847369,91.846286
574.811819,91.991898
575.776268,92.309049
576.740717,91.527187
577.705167,90.695053
578.669616,90.208712
579.634065,90.488489
580.598515,90.759244
581.562964,90.963554
582.527413,90.87518
583.491863,90.829036
584.456312,90.647087
585.420762,90.270582
586.385211,89.984392
587.349660,90.191158
588.314110,90.651737
589.278559,90.893048
590.243008,90.463742
591.207458,90.371577
592.171907,90.69993
593.136356,91.027856
594.100806,90.778695
595.065255,90.70988
596.029704,90.447056
596.994154,90.528775
597.958603,90.739804
598.923053,91.390064
599.887502,91.417649
600.851951,90.922178
601.816401,90.474303
602.780850,90.630009
603.745299,90.962079
604.709749,91.009478
605.674198,91.044425
606.638647,91.293117
607.603097,91.421417
608.567546,91.413136
609.531996,91.4582
610.496445,91.621821
611.460894,91.721846
612.425344,91.766545
613.389793,91.900403
614.354242,92.047138
615.318692,92.169476
616.283141,92.175688
617.247590,92.267679
618.212040,92.710975
619.176489,92.963935
620.140938,92.75474
621.105388,92.717236
622.069837,92.817225
623.034287,92.97207
623.998736,93.103246
624.963185,93.104046
625.927635,93.090564
626.892084,92.974178
627.856533,92.719028
628.820983,92.64128
629.785432,92.914743
630.749881,93.13567
631.714331,93.145957
632.678780,93.068727
633.643230,93.064609
634.607679,93.098935
635.572128,93.097481
636.536578,93.015167
637.501027,92.980471
638.465476,92.803793
639.429926,92.727694
640.394375,92.860033
641.358824,92.874507
642.323274,92.329227
643.287723,92.110757
644.252172,91.950956
645.216622,91.948653
646.181071,91.810303
647.145521,91.528947
648.109970,91.424329
649.074419,91.158525
650.038869,90.915942
651.003318,90.861627
651.967767,90.75367
652.932217,90.559357
653.896666,90.275159
654.861115,90.090256
655.825565,89.897652
656.790014,89.703475
657.754464,89.463243
658.718913,89.161836
659.683362,88.976649
660.647812,88.734196
661.612261,88.422814
662.576710,88.251471
663.541160,88.019797
664.505609,87.678829
665.470058,87.287122
666.434508,87.101361
667.398957,88.555651
668.363406,85.893418
669.327856,84.558219
670.292305,84.676188
671.256755,84.369944
672.221204,83.889133
673.185653,83.384745
674.150103,82.873706
675.114552,82.260943
676.079001,81.72976
677.043451,81.18113
678.007900,80.665393
678.972349,80.205372
679.936799,79.679994
680.901248,79.072233
681.865698,78.428221
682.830147,77.722301
683.794596,77.251829
684.759046,76.853544
685.723495,76.325614
686.687944,75.706756
687.652394,75.327529
688.616843,75.001162
689.581292,74.577912
690.545742,74.25484
691.510191,74.014104
692.474640,73.647315
693.439090,73.208291
694.403539,72.865624
695.367989,72.615439
696.332438,72.248006
697.296887,71.808045
698.261337,71.436039
699.225786,71.187757
700.190235,70.915551
701.154685,70.800647
702.119134,70.701339
703.083583,70.257359
704.048033,69.697864
705.012482,69.251026
705.976932,68.908646
706.941381,68.53629
707.905830,68.050717
708.870280,67.550118
709.834729,66.901248
710.799178,66.243036
711.763628,65.438463
712.728077,64.648192
713.692526,63.919732
714.656976,63.370381
715.621425,62.511067
716.585874,61.656175
717.550324,60.739744
718.514773,59.633046
719.479223,58.386959
720.443672,57.261236
721.408121,56.526936
722.372571,56.224476
