Wavenumber,Percent Transmittance
399.282035,118.517707
400.246484,119.950122
401.210934,123.017906
402.175383,118.940368
403.139832,115.530068
404.104282,117.592362
405.068731,118.56394
406.033181,113.776884
406.997630,108.270851
407.962079,107.562674
408.926529,111.256497
409.890978,112.616863
410.855427,112.594325
411.819877,114.406441
412.784326,115.891322
413.748775,116.279928
414.713225,115.714671
415.677674,116.353401
416.642124,115.119005
417.606573,103.846579
418.571022,75.470474
419.535472,89.04328
420.499921,108.245597
421.464370,111.638386
422.428820,105.69775
423.393269,104.691497
424.357718,112.943707
425.322168,114.536359
426.286617,109.906521
427.251066,109.517292
428.215516,109.235818
429.179965,107.17012
430.144415,107.063499
431.108864,104.947079
432.073313,105.194177
433.037763,107.869561
434.002212,108.498147
434.966661,110.468026
435.931111,113.006812
436.895560,111.637811
437.860009,112.542945
438.824459,117.138286
439.788908,116.019326
440.753358,113.433505
441.717807,111.468979
442.682256,110.14085
443.646706,111.718512
444.611155,113.262934
445.575604,112.507177
446.540054,110.328936
447.504503,108.01168
448.468952,109.13666
449.433402,110.39412
450.397851,111.503291
451.362300,110.091244
452.326750,107.997905
453.291199,107.351191
454.255649,108.252708
455.220098,108.231644
456.184547,109.166247
457.148997,108.455387
458.113446,106.908649
459.077895,108.014502
460.042345,108.266332
461.006794,107.520866
461.971243,107.998019
462.935693,108.630396
463.900142,108.617476
464.864592,109.330835
465.829041,110.343119
466.793490,110.272676
467.757940,109.592935
468.722389,109.215214
469.686838,109.743616
470.651288,110.224968
471.615737,110.304571
472.580186,109.415052
473.544636,110.554334
474.509085,111.666856
475.473534,112.206931
476.437984,112.982035
477.402433,113.70266
478.366883,112.820608
479.331332,112.08972
480.295781,112.997528
481.260231,114.814578
482.224680,116.109282
483.189129,114.866451
484.153579,113.815349
485.118028,114.865324
486.082477,115.776335
487.046927,116.324265
488.011376,116.279182
488.975826,115.673615
489.940275,115.896597
490.904724,116.53215
491.869174,116.619603
492.833623,117.426996
493.798072,117.947463
494.762522,117.86562
495.726971,118.99572
496.691420,119.31439
497.655870,118.050488
498.620319,117.947283
499.584768,118.706699
500.549218,118.944532
501.513667,117.987291
502.478117,117.164541
503.442566,117.391601
504.407015,117.453808
505.371465,117.517909
506.335914,117.90374
507.300363,118.059109
