Peak Number,Range of Chemical Shift (δ),PO (0.0% CO),2C:1P (66.8% CO),CO (100.0% CO),Pearson Coefficient,p-value,Significant? (p < 5%),Trend
1,5.43-6.60,0.0795995,0.215819,0.247467,0.9882067924498923,0.0978675751339291,False,Trend not significant
2,5.22-5.43,4.72308,7.02834,8.15314,0.9999893221634111,0.0029419625657858485,True,Positive trend (+)
3,4.34-5.22,0.192053,0.337042,0.374563,0.9907410910525491,0.08669832135258242,False,Trend not significant
4,4.26-4.34,1.78335,1.63807,1.55591,-0.9994672929625478,0.020780625659520036,True,Negative trend (-)
5,4.18-4.26,0.0917593,0.127467,0.143382,0.999653404784073,0.01676173411060106,True,Positive trend (+)
6,4.10-4.18,2.0194,2.00752,1.97106,-0.8883444762586632,0.3037117098156245,False,Trend not significant
7,2.84-4.10,0.388851,0.53484,0.567256,0.98711608922107,0.10230252777043523,False,Trend not significant
8,2.72-2.84,0.696374,1.70113,2.2015,0.999999918247097,0.00025742262561875677,True,Positive trend (+)
9,2.35-2.72,0.380832,0.446527,0.432183,0.8570718741291771,0.3445623795697654,False,Trend not significant
10,2.25-2.35,5.67971,5.58,5.53345,-0.9998825941769511,0.00975537994576691,True,Negative trend (-)
11,2.09-2.25,0.242872,0.431288,0.475224,0.9882947551455974,0.09750118885731661,False,Trend not significant
12,1.94-2.09,6.37919,8.91149,10.2125,0.9999667588806942,0.005190798176263634,True,Positive trend (+)
13,1.69-1.94,0.312778,0.352989,0.351442,0.9337531459026228,0.23302631450573377,False,Trend not significant
14,1.54-1.69,6.05955,5.97233,5.94368,-0.9957311114048478,0.05884467230530087,False,Trend not significant
15,1.41-1.54,0.962253,0.938678,1.01474,0.5210760127563037,0.6510615998146102,False,Trend not significant
16,1.18-1.41,58.8817,52.8531,49.7616,-0.9999704666057018,0.0048927482636744405,True,Negative trend (-)
17,1.00-1.18,1.50957,1.3748,1.40838,-0.8398697897847491,0.3652625300213253,False,Trend not significant
18,0.93-1.00,0.161217,0.685757,0.993186,0.9991189998297251,0.02672483340292543,True,Positive trend (+)
19,0.83-0.93,8.64649,8.0188,7.71418,-0.9999823583669163,0.0037815091179069283,True,Negative trend (-)
20,0.40-0.83,0.809376,0.84401,0.94514,0.8928753074921905,0.29736877152598207,False,Trend not significant
